segment,name,rms_dbfs,peak_dbfs,crest_factor_db,dynamic_range_db,snr_db,spectral_centroid_hz,spectral_rolloff_hz,zero_crossing_rate,speech_ratio_pct
1,Intro,-26.81,-4.44,22.38,48.19,23.99,553.7,585.9,0.0651,70.0
2,Center/LCD 10cm,-25.96,-5.65,20.32,43.13,20.56,529.9,574.2,0.0623,69.9
3,Bottom Mic 10cm,-26.5,-5.71,20.79,45.44,21.38,725.6,679.7,0.082,70.0
4,Top Mic,-25.14,-7.02,18.12,50.2,21.51,821.6,1582.0,0.0758,70.0
5,Proximity 10-15cm,-25.67,-3.8,21.87,50.36,22.66,656.3,1066.4,0.0709,69.9
6,Proximity 3cm,-22.09,-1.61,20.48,52.46,19.34,573.2,668.0,0.0605,69.8
7,Proximity touching,-27.32,-8.1,19.22,42.0,23.71,587.8,550.8,0.0661,70.0
8,Proximity 30cm,-27.23,-4.42,22.8,36.8,18.41,801.0,1546.9,0.0626,69.8
9,Bottom Mic recap,-31.58,-13.93,17.65,21.08,12.89,619.6,632.8,0.0791,70.0
10,Top Mic recap,-27.79,-6.11,21.68,45.72,28.63,761.4,1839.8,0.0855,70.0
11,Phone to Ear,-24.06,-4.73,19.33,52.69,27.21,559.1,597.7,0.062,69.9
12,Phone to Ear downward,-22.6,-4.58,18.02,38.95,20.11,571.6,597.7,0.0674,69.4
13,Return to Center,-26.7,-4.34,22.36,43.31,19.81,575.3,703.1,0.0527,69.7
14,Handling noise,-26.26,-3.58,22.68,46.76,27.09,1373.2,2308.6,0.1423,69.9
15,Mount handling noise,-26.86,-3.66,23.2,46.46,31.86,622.1,691.4,0.1311,70.0
16,Noise floor,-27.26,-4.34,22.91,49.05,37.74,1310.4,1593.8,0.0907,70.0
17,Case description,-23.89,-1.43,22.46,40.19,22.79,770.6,925.8,0.0815,70.0
18,Case Center/LCD,-25.78,-3.6,22.18,44.57,28.06,682.5,843.8,0.0715,70.0
19,Case Bottom Mic,-25.92,-5.2,20.72,44.79,27.61,862.4,1640.6,0.0907,69.9
20,Ulanzi Stand Bottom Mic,-27.44,-5.44,22.0,43.31,26.61,990.4,1816.4,0.0874,69.9
21,Ulanzi Stand Center/LCD,-25.65,-5.88,19.76,38.58,17.21,691.4,796.9,0.0748,69.9
22,360° walk,-30.12,-7.55,22.57,41.03,22.29,609.6,738.3,0.0629,70.0
23,Off-axis 45° left,-29.97,-6.27,23.7,40.51,22.82,649.9,738.3,0.0829,69.6
24,Off-axis 45° right,-30.36,-10.52,19.84,41.37,20.49,711.5,1054.7,0.067,70.0
